Date,Week,Open,High,Low,Close,Adj Close,Volume
2015/5/26,2,5076.910156,5081.169922,5016.740234,5032.75,5032.75,1731950000
2015/5/27,3,5047.859863,5111.540039,5039.370117,5106.589844,5106.589844,1809550000
2015/5/28,4,5096.339844,5106.649902,5080.25,5097.97998,5097.97998,1741420000
2015/5/29,5,5093.100098,5099.399902,5057.589844,5070.029785,5070.029785,2024170000
2015/6/1,1,5094.939941,5099.009766,5045.669922,5082.930176,5082.930176,1902120000
2015/6/2,2,5063.470215,5100.02002,5047.350098,5076.52002,5076.52002,1729750000
2015/6/3,3,5098.47998,5114.600098,5084.990234,5099.22998,5099.22998,1852680000
2015/6/4,4,5078.220215,5101.109863,5046.290039,5059.120117,5059.120117,1813960000
2015/6/5,5,5057.040039,5074.97998,5025.52002,5068.459961,5068.459961,1842890000
2015/6/8,1,5066.649902,5069,5014.060059,5021.629883,5021.629883,1712210000
2015/6/9,2,5013.129883,5027.02002,4974.620117,5013.870117,5013.870117,1754340000
2015/6/10,3,5029.410156,5086.660156,5024.169922,5076.689941,5076.689941,1792980000
2015/6/11,4,5088.259766,5101.390137,5075.049805,5082.509766,5082.509766,1623950000
2015/6/12,5,5060.240234,5067.959961,5043.240234,5051.100098,5051.100098,1428900000
2015/6/15,1,5011.790039,5035.370117,4985.939941,5029.970215,5029.970215,1790280000
2015/6/16,2,5023.580078,5063.060059,5022.560059,5055.549805,5055.549805,1654820000
2015/6/17,3,5067.680176,5080.109863,5042.25,5064.879883,5064.879883,1712820000
2015/6/18,3,5082.06,5143.32,5082.03,5132.95,5132.95,1877920000
